Filename,WindSpeed,Power,Thrust,Ct,Samples
case_Dir0_Ang0_Spd0p1.out,0.09999999999999999,0.0,-3.1915920414229295,0.0,20001
case_Dir0_Ang0_Spd0p2.out,0.19999999999999998,0.0,0.8395169113994301,0.0,20001
case_Dir0_Ang0_Spd0p3.out,0.3,0.0,5.418338606024699,0.0,20001
case_Dir0_Ang0_Spd0p4.out,0.39999999999999997,0.0,9.995561216824159,0.0,20001
case_Dir0_Ang0_Spd0p5.out,0.5,0.0,13.793483038648068,0.0,20001
case_Dir0_Ang0_Spd0p6.out,0.6,0.0,17.410696633346333,0.0,20001
case_Dir0_Ang0_Spd0p7.out,0.7000000000000001,0.0,18.720682814309285,0.0,20001
case_Dir0_Ang0_Spd0p8.out,0.7999999999999999,0.0,20.757954169241536,0.0,20001
case_Dir0_Ang0_Spd0p9.out,0.9,0.0,22.14212765321734,0.0,20001
case_Dir0_Ang0_Spd10p0.out,10.0,3219.874756262187,568.8390830458477,0.7448217719210232,20001
case_Dir0_Ang0_Spd10p1.out,10.1,3315.7200639968,579.8605369731513,0.7442926686566143,20001
case_Dir0_Ang0_Spd10p2.out,10.200000000000001,3413.3577321133944,590.9593970301485,0.7437384506578134,20001
case_Dir0_Ang0_Spd10p3.out,10.299999999999999,3512.8304584770763,602.1885305734713,0.7432261223891355,20001
case_Dir0_Ang0_Spd10p4.out,10.4,3614.1169441527923,613.4012749362533,0.7425760381771632,20001
case_Dir0_Ang0_Spd10p5.out,10.5,3717.4765761711915,624.6231588420579,0.7418266300233874,20001
case_Dir0_Ang0_Spd10p6.out,10.6,3824.5798710064496,634.0129743512824,0.7388382145599864,20001
case_Dir0_Ang0_Spd10p7.out,10.700000000000001,3933.146792660367,643.4032598370082,0.7358319429926861,20001
case_Dir0_Ang0_Spd10p8.out,10.799999999999999,4043.5499225038748,652.8715864206789,0.7328974193987234,20001
case_Dir0_Ang0_Spd10p9.out,10.900000000000002,4155.6357682115895,662.404814759262,0.7300177501551165,20001
case_Dir0_Ang0_Spd11p0.out,11.0,4269.237788110595,671.9500474976252,0.7271341703741586,20001
case_Dir0_Ang0_Spd11p1.out,11.099999999999998,4384.21608919554,681.5341282935854,0.7242768199753765,20001
case_Dir0_Ang0_Spd11p2.out,11.200000000000001,4500.490325483725,691.1411779411029,0.7214291042680007,20001
case_Dir0_Ang0_Spd11p3.out,11.299999999999999,4617.980250987451,700.7221188940553,0.7185415309822791,20001
case_Dir0_Ang0_Spd11p4.out,11.400000000000002,4736.794510274486,710.3364131793411,0.715677412539812,20001
case_Dir0_Ang0_Spd11p5.out,11.5,4856.984900754962,719.9560271986401,0.7128090852711833,20001
case_Dir0_Ang0_Spd11p6.out,11.599999999999998,4978.7599620019,729.5824908754563,0.7099395317724017,20001
case_Dir0_Ang0_Spd11p7.out,11.700000000000001,4997.550122493875,692.5204789760513,0.6624053517959243,20001
case_Dir0_Ang0_Spd11p8.out,11.799999999999999,4977.128993550323,684.0202589870506,0.6432323606389891,20001
case_Dir0_Ang0_Spd11p9.out,11.900000000000002,4984.443877806109,657.4973651317434,0.6079432338930023,20001
case_Dir0_Ang0_Spd12p0.out,12.0,4997.2398880056,642.829963501825,0.5845162038616633,20001
case_Dir0_Ang0_Spd12p1.out,12.099999999999998,5000.7020648967555,627.9317134143292,0.5615709221901686,20001
case_Dir0_Ang0_Spd12p2.out,12.200000000000001,5000.8690565471725,612.94000299985,0.539214100035866,20001
case_Dir0_Ang0_Spd12p3.out,12.299999999999999,5000.848307584621,599.6750062496875,0.5190015571005909,20001
case_Dir0_Ang0_Spd12p4.out,12.400000000000002,5000.8414079296035,588.2078496075196,0.5008992493888139,20001
case_Dir0_Ang0_Spd12p5.out,12.5,5001.132843357832,579.0902804859757,0.4852764155422624,20001
case_Dir0_Ang0_Spd12p6.out,12.599999999999998,5000.891305434729,568.486070696465,0.4688583695872231,20001
case_Dir0_Ang0_Spd12p7.out,12.700000000000001,5000.647367631618,558.7883205839707,0.4536310920928564,20001
case_Dir0_Ang0_Spd12p8.out,12.799999999999999,5000.447627618619,549.8536473176341,0.4394304080260268,20001
case_Dir0_Ang0_Spd12p9.out,12.900000000000002,5000.250887455627,541.6022198890056,0.4261514303928837,20001
case_Dir0_Ang0_Spd13p0.out,13.0,5000.106644667767,533.907239638018,0.413658583601171,20001
case_Dir0_Ang0_Spd13p1.out,13.099999999999998,4999.997850107495,526.6812159392031,0.40185388711163056,20001
case_Dir0_Ang0_Spd13p2.out,13.200000000000001,4999.9095545222735,519.8648517574121,0.3906659214982696,20001
case_Dir0_Ang0_Spd13p3.out,13.299999999999999,4999.805659717014,513.4027348632568,0.3800299558609272,20001
